Function,Dimension,Accuracy,P-Value,,,,,,,
f1,d10,0.5,0.999999971,=,,f1,d30,0.5,0.999999971,=
f1,d10,0.6,0.999999971,=,,f1,d30,0.6,0.999999971,=
f1,d10,0.7,3.40E-08,+,,f1,d30,0.7,3.40E-08,+
f1,d10,0.8,3.95E-08,+,,f1,d30,0.8,3.40E-08,+
f1,d10,0.9,0.050864316,=,,f1,d30,0.9,3.40E-08,+
f1,d10,1,0.130808234,=,,f1,d30,1,0.197085455,=
,,,,,,,,,,
f2,d10,0.5,0.883027842,=,,f2,d30,0.5,0.289591379,=
f2,d10,0.6,0.17885271,=,,f2,d30,0.6,0.003556747,+
f2,d10,0.7,0.023385498,+,,f2,d30,0.7,0.611804747,=
f2,d10,0.8,0.994283585,=,,f2,d30,0.8,0.090288688,=
f2,d10,0.9,0.999910318,=,,f2,d30,0.9,0.691612653,=
f2,d10,1,0.999999961,=,,f2,d30,1,0.999999971,=
,,,,,,,,,,
f4,d10,0.5,0.999999966,=,,f4,d30,0.5,0.999999947,=
f4,d10,0.6,0.999999852,=,,f4,d30,0.6,0.99999825,=
f4,d10,0.7,0.9999994,=,,f4,d30,0.7,0.999998822,=
f4,d10,0.8,3.39E-08,+,,f4,d30,0.8,3.40E-08,+
f4,d10,0.9,3.36E-08,+,,f4,d30,0.9,3.40E-08,+
f4,d10,1,1.21E-08,+,,f4,d30,1,3.40E-08,+
,,,,,,,,,,
f8,d10,0.5,0.999999971,=,,f8,d30,0.5,0.999999971,=
f8,d10,0.6,0.999999971,=,,f8,d30,0.6,0.999999971,=
f8,d10,0.7,5.29E-08,+,,f8,d30,0.7,3.39E-08,+
f8,d10,0.8,6.17E-08,+,,f8,d30,0.8,0.526958012,=
f8,d10,0.9,2.12E-06,+,,f8,d30,0.9,0.006172373,+
f8,d10,1,0.993839899,=,,f8,d30,1,0.976609347,=
,,,,,,,,,,
f13,d10,0.5,0.999999971,=,,f13,d30,0.5,0.999999971,=
f13,d10,0.6,0.999999951,=,,f13,d30,0.6,0.999999971,=
f13,d10,0.7,3.44E-07,+,,f13,d30,0.7,4.00E-09,+
f13,d10,0.8,0.000110719,+,,f13,d30,0.8,3.11E-08,+
f13,d10,0.9,0.000995487,+,,f13,d30,0.9,3.35E-08,+
f13,d10,1,0.001225492,+,,f13,d30,1,0.000293426,+
,,,,,,,,,,
f15,d10,0.5,0.60140129,=,,f15,d30,0.5,0.999999971,=
f15,d10,0.6,0.999998823,=,,f15,d30,0.6,0.999999971,=
f15,d10,0.7,0.973454014,=,,f15,d30,0.7,3.39E-08,+
f15,d10,0.8,0.999982548,=,,f15,d30,0.8,0.070209857,=
f15,d10,0.9,0.999561567,=,,f15,d30,0.9,0.84481022,=
f15,d10,1,0.999910694,=,,f15,d30,1,0.999966948,=